PERMNO,CUSIP,TICKER_CRDS,TICKER,Unnamed: 4
13791,20786U10,CNOB,CNOB,
13794,08182C10,BFYT,BFYT,
13796,41585810,HROW,HROW,
13797,32055710,INBK,INBK,
13799,30210410,XONE,XONE,
13800,98419Q10,XOOM,XOOM,
13802,04316A10,APAM,APAM,
13803,05381L10,AVIV,AVIV,
13812,56804T20,MRIN,MRIN,
13816,60752510,MODN,MODN,
13819,82817Q10,SSNI,SSNI,
13821,71103010,PGL,PGL,
13825,29251M10,ENTA,ENTA,
13826,36655410,GARS,GARS,
13827,98887G10,ZAIS,ZAIS,
13829,88165N20,TTPH,TTPH,
13830,95235520,WSTC,WSTC,
13835,25862210,DSL,DSL,
13837,30040P10,EVTC,EVTC,
13843,41068X10,HASI,HASI,
13858,75119810,RALY,RALY,
13860,81282V10,SEAS,SEAS,
13861,87509U10,TAM,TAM,
13862,87724P10,TMHC,TMHC,
13863,88338N10,TXMD,TXMD,
13866,L5140P10,I,I,
13869,25532M10,SAUC,SAUC,
13870,16934W10,CMRX,CMRX,
13874,30603D10,FWM,FWM,
13875,9.24E+13,HAWK,HAWK,
13876,42365Q10,HMTV,HMTV,
13877,45384B10,IBTX,IBTX,
13878,60249610,MDXG,MDXG,
13883,60040X10,OVAS,OVAS,
13886,2.93E+33,ARPI,ARPI,
13887,04208T10,AHH,AHH,
13889,38500230,CSG,CSG,
13889,38500230,GPT,GPT,
13890,15917910,ECOM,ECOM,
13891,23247W10,CYNI,CYNI,
13894,28857810,EARN,EARN,
13896,31572140,FCSC,FCSC,
13903,37953G10,BRSS,BRSS,
13906,55207470,WLH,WLH,
13907,64828T20,NRZ,NRZ,
13908,70932M10,PFSI,PFSI,
13909,72941W10,PGEM,PGEM,
13918,03969T10,ARCT,ARCT,
13919,2313988,AMBC,AMBC,
13921,23204G10,CUBI,CUBI,
13923,25213A10,DXM,DXM,
13924,29428V10,EPZM,EPZM,
13932,57063L10,MKTO,MKTO,
13934,32115D10,FNBC,FNBC,
13935,63737220,NRC,NRC,
13936,69365610,PVH,PVH,
13939,73933G20,PSIX,PSIX,
13940,73701010,PTLA,PTLA,
13942,75620710,RCPT,RCPT,
13943,89678F10,TSC,TSC,
13947,09609G10,BLUE,BLUE,
13954,29664W10,ESPR,ESPR,
13956,38046C10,GOGO,GOGO,
13959,65540B10,NDLS,NDLS,
13962,63009R10,NSTG,NSTG,
13965,64132K10,OHRP,OHRP,
13965,64132K10,NBSE,NBSE,
13966,03874P10,PETX,PETX,
13967,69366J20,PTCT,PTCT,
13968,N7154610,RNA,RNA,
13969,82835910,SAMG,SAMG,
13992,37518B10,GIMO,GIMO,
13998,48244B10,KCG,KCG,
14004,74937W10,RCAP,RCAP,
14005,88321110,TXTR,TXTR,
14006,87918110,TRMR,TRMR,
14006,87918110,TRLA,TRLA,
14006,87918110,TLRA,TLRA,
14010,G5727910,LXFT,LXFT,
14011,G5785G10,MNK,MNK,
14017,25272T10,DRII,DRII,
14026,48019R30,JONE,JONE,
14029,53277110,LIN,LIN,
14030,18539C10,CWEN,CWEN,
14033,68620A20,ONVO,ONVO,
14034,69082810,ORM,ORM,
14036,71943U10,DOC,DOC,
14037,76169C10,REXR,REXR,
14039,84860W30,SRC,SRC,
14041,86257810,STRP,STRP,
14042,90265Y10,UCP,UCP,
14043,92923C80,WCIC,WCIC,
14044,00847X10,AGIO,AGIO,
14045,53521910,LIND,LIND,
14046,43358Y10,CNAT,CNAT,
14052,15117V10,ICEL,ICEL,
14054,60468T10,MRTX,MRTX,
14055,68234X10,OMED,OMED,
14057,76132B10,SALE,SALE,
14061,02665T30,AMH,AMH,
14063,23247G10,CVT,CVT,
14071,45378A10,IRT,IRT,
14072,74017N10,PGEN,PGEN,
14076,62675510,MUSA,MUSA,
14087,98872B10,YUME,YUME,
14092,Y0207T10,ASC,ASC,
14093,87250W10,GLG,GLG,
14095,21240D10,CTRL,CTRL,
14097,35138V10,FOXF,FOXF,
14099,57165B10,MBII,MBII,
14101,88883P10,TBRA,TBRA,
14106,05591B10,BMCH,BMCH,
14127,02153X10,AAMC,AAMC,
14131,18948M10,MYCC,MYCC,
14133,63008730,NNVC,NNVC,
14136,76680R20,RNG,RNG,
14137,76680V10,REI,REI,
14141,80862510,SAIC,SAIC,
14143,92763A30,VMEM,VMEM,
14145,03823U10,AAOI,AAOI,
14149,08180D10,BNFT,BNFT,
14150,22357R10,COVS,COVS,
14152,22004Y10,CRRS,CRRS,
14153,82769410,EAGL,EAGL,
14160,35046510,FMI,FMI,
14161,33830X10,FPRX,FPRX,
